Date,Open,High,Low,True Range,1D,,,,,,,
21/08/2021,49327.07422,49717.01953,48312.19922,1404.82031,4.38%,,,,,,,
20/08/2021,46723.12109,49342.15234,46650.70703,2691.44531,6.33%,,,,,,,
19/08/2021,44741.88281,46970.76172,43998.31641,2972.44531,5.10%,,,,,,,
18/08/2021,44686.75,45952.0625,44364.02734,1588.03516,4.59%,,,,,,,
17/08/2021,45936.45703,47139.57031,44512.41797,2627.15234,5.24%,,,,,,,
16/08/2021,47019.96094,47998.09766,45700.32031,2297.77735,4.33%,,,,,,,
15/08/2021,47096.66797,47357.10547,45579.58984,1777.51563,3.87%,,,,,,,
14/08/2021,47810.6875,48098.68359,46177.63281,1921.05078,6.16%,,,,,,,
13/08/2021,44439.69141,47831.97656,44282.41797,3549.55859,6.49%,,,,,,,
12/08/2021,45576.87891,46228.91016,43861.44531,2367.46485,4.11%,,,,,,,
11/08/2021,45599.70313,46735.63281,45351.71094,1383.92187,3.58%,,,,,,,
10/08/2021,46280.84766,46637.98828,44705.55469,1932.43359,6.33%,,,,,,,
09/08/2021,43791.92578,46456.83203,42848.6875,3608.14453,6.24%,,,,,,,
08/08/2021,44574.4375,45282.35156,43331.91016,1950.4414,4.69%,,,,,,,
07/08/2021,42832.79688,44689.85938,42618.56641,2071.29297,6.62%,,,,,,,
06/08/2021,40865.86719,43271.66016,39932.17969,3339.48047,9.09%,,,,,,,
05/08/2021,39744.51563,41341.93359,37458.00391,3883.92968,8.17%,,,,,,,
04/08/2021,38213.33203,39952.29688,37589.16406,2363.13282,5.53%,,,,,,,
03/08/2021,39178.40234,39750.03125,37782.05078,1967.98047,4.56%,,,,,,,
02/08/2021,39907.26172,40419.17969,38746.34766,1672.83203,5.64%,,,,,,,
01/08/2021,41460.84375,42541.67969,39540.94141,3000.73828,4.88%,,,,,,,
31/07/2021,42196.30469,42231.44922,41110.83203,1120.61719,6.19%,,,,,,,
30/07/2021,40027.48438,42235.54688,38397.35547,3838.19141,6.35%,,,,,,,
29/07/2021,39995.45313,40593.07031,39352.05859,1241.01172,4.04%,,,,,,,
28/07/2021,39503.1875,40816.07031,38862.4375,1953.63281,6.60%,,,,,,,
27/07/2021,37276.03516,39406.94141,36441.72656,2965.21485,11.56%,,,,,,,
26/07/2021,35384.03125,40499.67578,35287.3125,5212.36328,9.76%,,,,,,,
25/07/2021,34290.29297,35364.92578,33881.83594,1483.08984,3.79%,,,,,,,
24/07/2021,33593.73047,34490.39063,33424.85938,1065.53125,4.01%,,,,,,,
23/07/2021,32305.95898,33581.55078,32057.89258,1523.6582,3.66%,,,,,,,
22/07/2021,32138.87305,32576.40039,31745.29883,831.10156,6.81%,,,,,,,
21/07/2021,29796.28516,32752.32617,29526.18359,3226.14258,7.90%,,,,,,,
20/07/2021,30838.28516,31006.1875,29360.95508,1645.23242,4.67%,,,,,,,
19/07/2021,31800.01172,31885.85938,30563.73438,1322.125,3.97%,,,,,,,
18/07/2021,31533.88477,32398.99609,31215.49219,1183.5039,3.02%,,,,,,,
17/07/2021,31397.30859,31935.94531,31223.99023,711.95508,2.87%,,,,,,,
16/07/2021,31841.55078,32218.40625,31100.67383,1117.73242,4.72%,,,,,,,
15/07/2021,32827.875,33159.64063,31175.70898,1983.93165,5.20%,,,,,,,
14/07/2021,32723.8457,33061.39844,31639.125,1422.27344,3.76%,,,,,,,
13/07/2021,33125.46875,33327.10156,32261.41992,1065.68164,4.32%,,,,,,,
12/07/2021,34254.01563,34592.15625,32697.30859,1894.84766,4.67%,,,,,,,
11/07/2021,33509.07813,34584.70313,33346.73828,1237.96485,3.45%,,,,,,,
10/07/2021,33811.24219,34209.07031,33116.01172,1093.05859,4.29%,,,,,,,
09/07/2021,32861.67188,34042.29297,32318.88086,1723.41211,5.16%,,,,,,,
08/07/2021,33889.60547,33907.90625,32133.18359,1774.72266,4.28%,,,,,,,
07/07/2021,34225.67969,34997.66406,33839.28906,1158.375,3.85%,,,,,,,
